INFO 2026-03-18 17:55:30,366 autoreload 19620 20300 Watching for file changes with StatReloader
DEBUG 2026-03-18 17:55:30,367 autoreload 19620 20300 Waiting for apps ready_event.
DEBUG 2026-03-18 17:55:32,256 autoreload 19620 20300 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-03-18 17:55:32,289 autoreload 19620 20300 Watching dir C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\rest_framework\templates with glob **/*.
DEBUG 2026-03-18 17:55:32,290 autoreload 19620 20300 Watching dir D:\aipro\ai05\locale with glob **/*.mo.
DEBUG 2026-03-18 17:55:32,290 autoreload 19620 20300 Watching dir C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2026-03-18 17:55:32,291 autoreload 19620 20300 Watching dir C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2026-03-18 17:55:32,291 autoreload 19620 20300 Watching dir D:\aipro\ai05\knowledge_base\locale with glob **/*.mo.
DEBUG 2026-03-18 17:55:32,378 utils 19620 16404 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2026-03-18 17:55:32,382 utils 19620 16404 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2026-03-18 17:55:33,503 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\chardet\resultdict.py first seen with mtime 1769071580.4563744
DEBUG 2026-03-18 17:55:33,504 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\migrations\exceptions.py first seen with mtime 1773824971.5166984
DEBUG 2026-03-18 17:55:33,504 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\packaging\requirements.py first seen with mtime 1770203327.1524773
DEBUG 2026-03-18 17:55:33,505 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\contrib\auth\checks.py first seen with mtime 1773824962.6350152
DEBUG 2026-03-18 17:55:33,506 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\urllib3\util\url.py first seen with mtime 1742181148.4467342
DEBUG 2026-03-18 17:55:33,506 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\fields\__init__.py first seen with mtime 1773824971.581771
DEBUG 2026-03-18 17:55:33,507 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\_common.py first seen with mtime 1766452261.4116943
DEBUG 2026-03-18 17:55:33,508 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pathlib\_local.py first seen with mtime 1741683481.9819822
DEBUG 2026-03-18 17:55:33,508 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\idna.py first seen with mtime 1766452261.2554133
DEBUG 2026-03-18 17:55:33,509 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\checks\__init__.py first seen with mtime 1773824971.2098086
DEBUG 2026-03-18 17:55:33,509 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\email\quoprimime.py first seen with mtime 1741683479.8748045
DEBUG 2026-03-18 17:55:33,510 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\functools.py first seen with mtime 1770253506.350345
DEBUG 2026-03-18 17:55:33,511 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\dis.py first seen with mtime 1741683479.8168042
DEBUG 2026-03-18 17:55:33,511 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pygments\formatter.py first seen with mtime 1742794872.0818477
DEBUG 2026-03-18 17:55:33,512 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\forms\widgets.py first seen with mtime 1773824971.6468618
DEBUG 2026-03-18 17:55:33,512 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\translation\reloader.py first seen with mtime 1773824972.199321
DEBUG 2026-03-18 17:55:33,513 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\requests\models.py first seen with mtime 1742181149.6862621
DEBUG 2026-03-18 17:55:33,514 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\urllib\response.py first seen with mtime 1741683484.654204
DEBUG 2026-03-18 17:55:33,514 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\chardet\universaldetector.py first seen with mtime 1769071580.4591775
DEBUG 2026-03-18 17:55:33,515 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\checks\urls.py first seen with mtime 1773824971.2284012
DEBUG 2026-03-18 17:55:33,516 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\middleware\security.py first seen with mtime 1773824971.9425623
DEBUG 2026-03-18 17:55:33,516 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\backends\django.py first seen with mtime 1773824972.0016804
DEBUG 2026-03-18 17:55:33,517 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\nturl2path.py first seen with mtime 1741683481.9719791
DEBUG 2026-03-18 17:55:33,517 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\shutil.py first seen with mtime 1741683482.1019804
DEBUG 2026-03-18 17:55:33,518 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\checks\files.py first seen with mtime 1773824971.216471
DEBUG 2026-03-18 17:55:33,519 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\lzma.py first seen with mtime 1741683481.8610108
DEBUG 2026-03-18 17:55:33,519 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\idna\idnadata.py first seen with mtime 1742181149.0044265
DEBUG 2026-03-18 17:55:33,520 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\asgiref\sync.py first seen with mtime 1742178882.805752
DEBUG 2026-03-18 17:55:33,520 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\yaml\dumper.py first seen with mtime 1742794871.581216
DEBUG 2026-03-18 17:55:33,521 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\colorama\winterm.py first seen with mtime 1742794889.1682532
DEBUG 2026-03-18 17:55:33,522 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\typing.py first seen with mtime 1770253522.1420968
